6.8587 	ERROR 	Plugin `psychopy-cedrus` entry point requires module `psychopy_cedrus`, but it cannot be imported.
9.7576 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
9.7591 	INFO 	Loaded monitor calibration from ['2024_04_22 18:56']
10.1352 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbc122f3af0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbc122f3a90>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fbc122f3850>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fbbf72a1580>, multiSample=False, name='window1', numSamples=2, pos=[464.0, 258.0], screen=0, size=array([2048, 1536]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.1354 	EXP 	window1: mouseVisible = True
10.1355 	EXP 	window1: backgroundImage = ''
10.1355 	EXP 	window1: backgroundFit = 'none'
10.1359 	EXP 	window1: mouseVisible = True
10.1368 	EXP 	window1: mouseVisible = True
10.1414 	EXP 	window1: mouseVisible = True
10.1423 	EXP 	window1: mouseVisible = True
10.1616 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1629 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1644 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1665 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1685 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1692 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1706 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1727 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1731 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1736 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1751 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1765 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1778 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1792 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1803 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1819 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1833 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1839 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1846 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
10.1867 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
